Attribute,Const,analyzing data or information,thinking creatively,active learning,complex problem solving,mathematical reasoning,flexibility of closure,written expression,speaking,interpreting the meaning of information for others,establishing and maintaining interpersonal relationships,negotiation,coordination,updating and using relevant knowledge,integrity,initiative,self control,achievement/effort,independence,leadership,provide consultation and advice to others,training and teaching others,"organizing, planning, and prioritizing work",coordinating the work and activities of others,time management
coordinate or lead others,0.7645721471154316,0.0443259893300929,0.008178829838867197,-0.1035235660645539,0.053838027899696446,0.014242658889925111,-0.006165887609075549,-0.03819554601162757,0.11131689733428281,-0.26658702939621276,0.02143597348506696,-0.07531218720310909,0.08072336752449838,0.18221888348090254,-0.2856784033534988,0.010754580972329526,0.1778301589142274,-0.1605296973138458,0.03384139923637686,0.42463832100810667,0.1262457106528198,0.05788701022669795,0.045765844890852905,0.09228944495986999,0.3103165949514097
"cramped work space, awkward positions",1.7550027598564744,-0.15513128573023857,-0.13814096563084477,-0.17785960123028377,0.05978345016105519,-0.055213995716942424,0.4817717344565157,-0.3160209845977117,0.1241660557066891,-0.054567277716371744,-0.09054771780871285,-0.2098823156552486,-0.032807159890154106,0.27829981903653,0.03489884579440367,0.14521932201289037,0.06675471331496945,-0.236111043369131,-0.09579551083630769,0.06578545939408384,-0.039960711017618715,0.06596683482038641,-0.051198990408737766,0.07721150585554323,0.25154531752225845
critical thinking,1.2779797207671124,0.060113171419973625,-0.024822389683420584,0.14908494553738252,0.1855818452860952,0.014405200703986862,0.061981995347448415,0.06265029350029738,0.2306869269386287,-0.03495950346497404,-0.02957779508718613,-0.02572085255049097,0.04117972444923437,0.09281059420131868,0.04295826884084167,-0.04108400002168091,0.030960927842442913,0.04080356892986496,-0.009217076829825319,0.016529454716389887,0.02336015922690189,-0.10375565909090269,-0.06651544081997073,0.03753302853139454,-0.059195058430227
customer and personal service,0.4608642173821931,-0.30128086421394507,-0.2574434767006212,-0.21592896150623742,-0.06806701046743664,0.050228692717069166,-0.06021693316454823,-0.12850546415236677,-0.029875023964972967,-0.07932225747882675,0.5164226332232208,0.19549775620380244,0.06423133367748839,0.4764927007183804,0.08341548001342235,-0.09003834896353756,0.427307852757675,-0.1460239125878849,0.11961702747292335,0.1940332895917216,0.1790908110775412,-0.1646786081951837,0.10057370363123132,-0.029001521135157686,-0.13582708986810293
deal with external customers,-0.23564775240012592,-0.13272513830786503,-0.23297960463259218,-0.16565739787306505,5.8167368025649046e-05,-0.007905612530216703,0.031186746052298042,-0.038632666673332004,0.2804046924107048,-0.2066635433295847,0.5370998617060279,0.2607239126889833,0.18612764648666005,0.4947349473432696,0.10055130965147653,-0.29438553564946424,0.1666016410958271,-0.007340855095720059,0.1843707232120367,0.17195862228439482,-0.07787156311548801,-0.14483502615545576,-0.19810092875212004,0.03442784937297214,0.02692338317556568
deal with physically aggressive people,-1.9829386659314863,-0.07330777815632654,0.01570373238876216,-0.0040775348118416155,0.2129750326999901,-0.13085944993358295,0.2550172973905394,0.08346385414626777,-0.07449808195207573,-0.07018113848567348,0.1142888803382866,0.1726285982484806,0.4555005230285831,0.056916378105229794,0.1550277130931912,-0.26653439050881167,0.5053835470546428,-0.18923108325955276,0.2095658007852476,-0.1928746786210817,-0.002877909283303254,0.0386301313660298,0.036037898122346784,-0.09355641056833547,-0.24186172751493193
deal with unpleasant or angry people,-0.8272176353229646,0.0029910328088875626,-0.1474082305182564,-0.10300017669598718,0.1429736038704016,-0.13227757508322413,0.016003737936982745,-0.10179297105430096,0.0831832244370504,-0.08607643579926598,0.08022870444560695,0.424705981735039,0.3143583003787228,0.254068730293329,0.04926079756824036,-0.1684613754870752,0.6010846465332278,-0.1309025305130451,0.12721284243994094,-0.11977660311469585,-0.05995911948596423,-0.06669969901530835,0.0634314656153727,-0.022092343510608396,-0.03017895759978789
deductive reasoning,1.2653250374329383,0.025539885592179196,-0.04783177130861452,0.15576255885675738,0.19929417922349496,0.05176546306092697,0.12325369528837152,0.0543865156938754,0.16020146217985515,-0.009450289506852005,-0.043064875175055015,-0.01353729303378735,0.0274414296657868,0.11755317358399134,0.0076768214614004885,0.054396315820802815,0.05212240594664333,0.00036284620973375814,-0.09888494751239271,0.05278162817341701,0.03619287084940261,-0.05767183882532317,-0.05870379652325549,0.038521560775487115,-0.11475364494934964
degree of automation,3.660736350077655,0.18725256090671402,-0.25849656440076885,-0.19663518578296746,-0.02079731338568422,0.13018501518451658,-0.052003180887946115,-0.22430913714969963,-0.07491787361467929,-0.13448865224195275,-0.23998144512664454,0.280171726660881,-0.16130713462466623,0.11149410847012753,0.08338085943855605,-0.12622643031238534,0.023468523699035224,0.05097382603113364,-0.18981403087638862,0.07913575784250047,0.016556493052295895,-0.056227921374237565,0.31378126203752815,0.037976140308514664,0.045809121313388
dependability,2.0287545684320483,-0.052933985619076925,-0.058429843583103824,-0.028136461988625003,-0.001239080425588325,-0.00563459568913691,0.05017680549682015,-0.0142388081664243,0.04910263049738359,-0.0041622431805190575,0.045261191752589906,-0.08385328556875303,-0.029240940318361542,-0.013881285023646276,0.12673773303774138,-0.018689174877634305,0.2612916421578996,0.1446537084667258,0.0572097581974914,0.05620505912219028,-0.009171263750896535,-0.04811211208602957,0.07763532714166896,0.03495262204236608,0.037718090139758964
depth perception,1.9557210592250112,-0.1114518111532159,-0.07615721986182622,-0.2117602412252651,0.03698118058804545,0.05029216672274961,0.551167390940599,-0.3832405692649885,0.2648490285770713,-0.13240325691871654,-0.06947819201049757,-0.10524779055259813,-0.03200327143783287,0.2913840735111628,-0.011293524616330756,-0.00681639392258935,-0.1585352804819618,-0.1202662812692413,-0.004003421530252856,0.06686522423363879,-0.05671567376080717,-0.0051608825395103985,-0.047385705015972564,0.23501727350628082,0.1466936446630589
design,7.330950990160078,-0.23727109875793911,0.6059181150329592,-0.45879565704181896,0.44237906284301487,0.2729202922718642,0.17696858471137827,-0.2497663986694201,-0.14844723168757465,-0.21435190528623183,-0.4790741623096341,-0.08189649293955792,-0.5648375360227857,0.3515844098685375,-0.6760237487864288,0.2207893846574192,-0.00043400709375371327,-0.4330742787933914,-0.5171375680509277,0.22508983174940994,0.22243692823872296,-0.12486295361453248,-0.021342730362656322,0.46863135852798954,0.16809885135534208
developing and building teams,-1.0731807636483484,0.1042666563597075,0.07513046240314872,0.07089925761108508,0.0415687289592562,0.0024168110134648174,0.019855676855476137,-0.11658467039632377,-0.08064714126478949,-0.030590243323514423,0.27266149248323557,0.10118201823802736,0.2523722030322389,-0.017092888998937843,0.10193217782189527,-0.13150850139512307,-0.015577435284800774,-0.012494481455325527,-0.12174634064941928,0.04153650348879615,0.06923335980312784,0.06501063126819717,0.08885302944395139,0.5794720420823449,-0.07525632226264828
developing objectives and strategies,-1.6136669249989133,0.15268455266028055,0.3443353012932171,-0.06378746779550896,0.008017034525279451,-0.03022590398148642,-0.03250564159948669,0.03799607389947954,-0.10171279777539893,-0.03835851896012245,0.15138415604876304,0.12257249901190641,0.1347246345662465,-0.06711278008681709,0.19615664937100832,-0.05922368264906581,-0.1809127461203589,-0.1325227232722907,0.2007582933797839,0.08907254407568135,0.09932123520535611,0.1160975374163767,0.32094219606487656,0.11144596204993494,-0.01933667600931676
documenting/recording information,1.568761642250752,0.06084239877174065,-0.17545855392083348,0.036722691055288824,0.09135064056612904,-0.1536257264255725,0.32793492986910217,0.10950347848180628,-0.07388925691191307,0.04052535940853262,0.10229091114492045,-0.08027640955050316,0.005823711092104191,0.33057455162458443,0.1655000289528185,-0.12952015029417957,0.15495032189117675,-0.3625747996535869,0.1904232107237751,-0.15238898319696614,-0.014336664217156354,0.07067633897291696,0.04843528543700684,0.134602563333819,-0.12629406619415665
"drafting, laying out, and specifying technical devices, parts, and equipment",6.754647945178164,-0.2276309248237857,0.31274404959426266,-0.4044719801967874,0.4918099395566402,0.1925009692294203,0.3301516296855724,-0.15502783037645643,-0.02561229447307554,-0.2829441428157597,-0.4499661237356316,-0.09148040222006991,-0.3556168725817925,0.29024405849185964,-0.6883218931101318,0.21195389851280722,0.15404396699063136,-0.5528209635705577,-0.463090032944292,0.0261116628494291,0.14594573691756413,0.01782703821845424,0.028155149463063363,0.3882320045897196,0.16331812511812155
dynamic flexibility,1.3047606414764328,-0.03410312992470318,0.013777883851403206,0.03758771552976643,-0.06512108008367717,-0.020841636153718496,0.021032613981318903,-0.08851399956439394,0.03322118059226309,-0.013653125501153923,0.04730216108103638,-0.04219233721861969,0.033250780492775744,-0.02571307616896623,0.013686750140704433,-0.012390368282464679,-0.07087246678375397,0.04849171219615914,0.015866003168390073,0.006509264698947335,0.015488990169873387,0.004476826732251581,-0.034230680323244105,0.02910984702451212,0.015063543948118503
dynamic strength,2.425357631162549,-0.06292586144486922,-0.107843823805132,-0.04555663718089154,-0.07834015712889172,-0.14913132599430248,0.2823943129848516,-0.28837173168890884,0.0797268899180852,-0.08893131584961599,0.12745537111967015,-0.1944371529108579,-0.0077300207586018,0.07656824060177583,0.021646756466607076,0.09349078123178582,-0.12902615535852774,-0.2847968042168157,0.19372700268275006,0.07599028146327584,-0.10125258638534183,0.0675794684571609,-0.0773298839353058,0.1431231215654175,0.17176905042444215
economics and accounting,-1.4485271633900139,0.18570962067290528,-0.1626824475633417,-0.16535209203787335,-0.3102750267797953,0.5089122271420077,-0.23821030274928004,-0.18735261369120626,0.2984300358374278,-0.22065415847598802,0.2888638173156405,0.3286498804844632,-0.028811987371953247,-0.02282700501968022,0.3146052357360629,0.09286423930862242,-0.21115443337385248,0.4192963970747319,-0.022025725769310087,0.22322905427504852,0.13825604663224977,-0.23809568982862075,-0.03677422608382483,0.0660652596088975,-0.029626322214097948
education and training,-2.654642050215925,-0.08782049154542634,0.05348547839546207,0.022586713781102077,-0.06253898532909544,-0.048599672676982855,0.137380533383741,0.2921416271933272,0.037496598288398006,0.06457474376786554,0.007984743825924217,-0.2123449291379573,0.034018724747968465,-0.18164848168668532,0.028234972380262034,-0.03180558300740681,0.22694609845102065,0.11021522773790482,0.31699324267604617,0.2505630485837611,0.06495549481228452,0.6987017518400479,-0.009090097475580608,-0.21528263193090333,0.03871019113004789
electronic mail,4.845573852646603,0.06226935158684859,0.03953167489196428,0.02823783716483174,0.00852433080222742,0.08980904683888508,-0.15051974221865352,0.09535754581470304,-0.005638438273080503,0.043281684483823406,-0.00990076735591926,0.15755395974951245,-0.019692517678644276,-0.13552431657152134,-0.029654783564826696,0.08343438903327834,-0.230237891145019,-0.07025910787269193,-0.1437812387930133,0.01415460902989763,0.021542589711414012,0.06975508387998397,0.23329477926966677,-0.056208907882526755,-0.06196402460796079
engineering and technology,7.494884552522734,-0.06871089850997043,0.2901820780377854,-0.6437231160653167,0.610658504300745,0.37858802209198716,0.35475716725639944,-0.2547203177729373,0.08188146679376683,-0.25895526327634893,-0.7912435528233188,-0.029815284653518057,-0.7375199176079822,0.3673920555876614,-0.6419275878793635,0.3239877471677718,-0.050009254741071485,-0.580611529978495,-0.4306937937617179,0.23663532862920855,0.292762799492718,-0.044963666074401124,-0.11269547402954569,0.5088878044732753,0.2384985455986497
english language,-0.19565724340015667,0.0018456798582814138,0.10006739929892537,0.09346411277583368,-0.03207991728005005,-0.11431967634237969,-0.07397283963182377,0.290679695502348,-0.006306737837242548,0.2463870616711282,0.024366430792184725,0.004006789545469073,-0.09607329762413955,-0.016153636781721513,0.22327647493681552,-0.04270640910454607,0.02033511527866529,0.3126885443232448,0.04984817027473593,0.005016042620656819,-0.1192531569598392,-0.028373501848081194,0.09735766965268383,0.02140178858792591,0.029534292618633617
equipment maintenance,4.716057922289872,-0.0910908157194831,-0.09751649523545704,-0.024411387007722926,0.10959780118918223,0.001075326633194873,0.1731782974184656,-0.37341960879438746,-0.172638530072169,-0.06804052919092408,-0.19453091472231782,-0.052799496420157764,-0.23209599412519802,0.15011361401007575,-0.13298937727922908,0.08660129248362801,-0.006601782951851591,-0.13214993307554976,-0.12302018036848424,-0.09113136241380543,-0.0985151535173002,0.1403022405489049,0.002185680697168765,0.07260071489248575,0.3364649118193329
equipment selection,4.221931771997133,-0.09704073063718825,0.016749404848713845,-0.012631263418652259,0.2733098585144661,-0.04649763842693133,0.3179651034940516,-0.40163203559705524,-0.03102163689722684,-0.248151955826168,-0.16129394635743377,-0.2306500072194244,-0.12834021190710682,0.3024861821395114,-0.18924501584773706,0.125438460165425,0.018400675146721272,-0.2747140961956282,-0.1469212502842971,-0.13735236923357974,0.010293399406498618,0.08701021887789218,-0.03368960588145848,0.07378926195854203,0.2731826886034786
"estimating the quantifiable characteristics of products, events, or information",0.7389805905785876,0.28118907644703783,0.05373603978217836,-0.3136499889057712,-8.718021181301078e-05,0.2584494553599035,0.1879920593776409,-0.24559973499942778,0.13803216310656766,-0.044674020131220835,-0.05054287127432285,-0.041262836233127695,-0.10990762200370392,0.27702693645882803,-0.02131376803974273,0.013886403686513773,-0.29097730593368415,0.049631259255966044,0.08302212297086242,0.07139026532540343,0.06399356588291555,-0.11676813051370881,0.056144220599998226,0.32811462246532624,0.08547624649863327
evaluating information to determine compliance with standards,2.8423557938730495,0.17433073006723096,-0.38353049502153924,-0.347896727012594,0.21040202437128783,-0.04577979128313331,0.0760446924171407,-0.1076671685987435,-0.009775163077396034,-0.08378981848342312,-0.08930782137634602,0.18406477010817582,-0.037372931855885534,0.3679412166743457,0.18648638518065014,-0.3898510021951678,0.15320238673407943,-0.08782604504848786,-0.27605076702811865,0.24061932304225303,0.18044303741826528,-0.06779744138363096,0.3410851413691907,0.07911483076271035,-0.03515275391415122
explosive strength,1.1078572959696817,-0.05029083500786763,0.04774737984396153,0.0019894255794834677,-0.05149999946882303,-0.05580131973057986,0.17182909525588694,-0.024920571304991215,0.05392421147802629,-0.05858343401364899,0.07945125698693878,-0.03538965816402608,0.18066413643115586,-0.1014063790394516,0.007987723406885854,-0.06354347663806795,0.07401615137164941,-0.11146175536661486,0.01830825901947267,-0.05403743640206233,-0.0010265497597017337,0.06848869319439894,0.022397775614512984,-0.007984219591013449,-0.052129827114418506
exposed to contaminants,2.435728084667594,-0.22232771828384437,-0.3606166983706759,-0.20656282762838757,0.2899614277307441,-0.143101050207932,0.7524755646997815,-0.47094148524396584,0.20383609104597944,-0.1929429826802717,-0.23931631125903455,-0.10944552370091284,-0.3646193732978573,0.22457642153276042,0.2244895823755637,0.1807908480706122,-0.10744155624997352,-0.2488426819100036,0.04941968674957707,0.04304357431140063,-0.17379839686381732,0.22241472498962006,-0.035431514240058845,0.3304975458994744,0.33664698556805295
exposed to disease or infections,-7.598431960718294,-0.35901202391181886,-0.48379050120336714,0.412264433048542,0.15461438855400036,-0.3435353906092219,0.9315263843010687,-0.32013094495894195,0.2764263163826263,-0.4757964792505867,0.3221004926082699,-0.6676434647657248,0.6334846175204353,1.3382410092447257,0.48858457084301277,-0.2657102809594363,0.8585076622964213,0.04594658225335033,0.6180275013092571,-0.5632254502554824,0.1372590978973326,-0.028770881800802513,-0.7045855286318917,0.1808673420445038,0.2135987926838835
exposed to hazardous conditions,3.767313866810583,-0.0960913157361672,-0.26864266963823186,-0.025098706401534984,0.2545402381824077,-0.002884921939311391,0.5617049584186107,-0.4394753764359779,0.17801080482493992,-0.22458452213526425,-0.49042894048102376,-0.05142763772155748,-0.4716902213446318,0.14628995904687403,0.20583235565866148,0.2637139174099027,-0.1928562755921408,-0.33129394429675824,-0.11621391225256786,0.09583755853576989,-0.19195461727346214,0.23817851656986117,-0.0767709667888908,0.3528927381293864,0.2318597648267645
