Attribute	Correlation
Deal With Physically Aggressive People	-0.07758441252154585
Far Vision	-0.07889440582079867
Perceptual Speed	-0.09673601723733288
Food Production	-0.10884624027222321
Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	-0.1159023041751104
Degree of Automation	-0.1407846212484644
Consequence of Error	-0.15654560337054294
Building and Construction	-0.1639067434701768
Deal With Unpleasant or Angry People	-0.17330919564045924
In an Enclosed Vehicle or Equipment	-0.17902024103824238
Public Safety and Security	-0.20691850214813778
Physical Proximity	-0.21802326105397796
Outdoors, Under Cover	-0.22254628286559575
Visual Color Discrimination	-0.24752831520695062
Transportation	-0.2610924078954821
Installation	-0.26539386127932657
Production and Processing	-0.2967908486268958
Quality Control Analysis	-0.3019098840716022
Importance of Repeating Same Tasks	-0.30203127285363796
Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection	-0.3061194008126475
Responsible for Others' Health and Safety	-0.31808354251531623
Outdoors, Exposed to Weather	-0.32413203595185025
Hearing Sensitivity	-0.33923987388091326
Repairing and Maintaining Electronic Equipment	-0.3434396815885712
Indoors, Not Environmentally Controlled	-0.37228230059446477
Exposed to Whole Body Vibration	-0.37503114066158755
Exposed to High Places	-0.3803920990070207
Exposed to Hazardous Conditions	-0.3805714674249482
Dynamic Flexibility	-0.3810140300542083
Spend Time Climbing Ladders, Scaffolds, or Poles	-0.3814388539168662
Mechanical	-0.3844182164519874
In an Open Vehicle or Equipment	-0.3964799999445853
Explosive Strength	-0.40198052520641725
Equipment Selection	-0.4098919919477065
Auditory Attention	-0.41441906652326876
Operation Monitoring	-0.418096536293612
Troubleshooting	-0.4480451678733853
Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets	-0.45421234174309305
Depth Perception	-0.45510655585232146
Spatial Orientation	-0.46737365576083467
Night Vision	-0.47580945938753005
Repairing	-0.48064158387112543
Sound Localization	-0.489323400260948
Extremely Bright or Inadequate Lighting	-0.49286387005948823
Peripheral Vision	-0.49731118908866934
Cramped Work Space, Awkward Positions	-0.49732681689296604
Equipment Maintenance	-0.4993155563891672
Inspecting Equipment, Structures, or Material	-0.5001935699296784
Exposed to Hazardous Equipment	-0.502000597290563
Glare Sensitivity	-0.5037407974205101
Wrist-Finger Speed	-0.5132835654249344
Very Hot or Cold Temperatures	-0.5185913355770186
Finger Dexterity	-0.5229530131836486
Spend Time Keeping or Regaining Balance	-0.5231333740413416
Operating Vehicles, Mechanized Devices, or Equipment	-0.523706878809495
Spend Time Kneeling, Crouching, Stooping, or Crawling	-0.5314419638420622
Operation and Control	-0.5378552960877696
Sounds, Noise Levels Are Distracting or Uncomfortable	-0.5390265522054721
Response Orientation	-0.5590185564173608
Repairing and Maintaining Mechanical Equipment	-0.5591970121634006
Pace Determined by Speed of Equipment	-0.5608266987110169
Controlling Machines and Processes	-0.5664052717918424
Spend Time Standing	-0.5692925615346042
Exposed to Minor Burns, Cuts, Bites, or Stings	-0.5735084060960306
Gross Body Equilibrium	-0.5762785666330874
Exposed to Contaminants	-0.5852546805974587
Spend Time Walking and Running	-0.5880760334342686
Rate Control	-0.5936260821876238
Reaction Time	-0.5957115007934594
Gross Body Coordination	-0.6007998078239846
Spend Time Making Repetitive Motions	-0.6041373184713663
Speed of Limb Movement	-0.6046220374743666
Control Precision	-0.6108418450622581
Stamina	-0.6128153520947887
Trunk Strength	-0.6185568118203232
Arm-Hand Steadiness	-0.625985520768907
Dynamic Strength	-0.6285499112114461
Performing General Physical Activities	-0.6287013361153885
Multilimb Coordination	-0.630431031073378
Static Strength	-0.6423797640042889
Extent Flexibility	-0.6561842172840449
Spend Time Bending or Twisting the Body	-0.6703963254013331
Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls	-0.6710940319125828
Handling and Moving Objects	-0.6713045865975338
Manual Dexterity	-0.6780149531477573
