Attribute	Correlation
Monitor Processes, Materials, or Surroundings	-0.033585200010952505
Importance of Being Exact or Accurate	-0.04144879076887149
Visualization	-0.05007710838527622
Frequency of Decision Making	-0.05315980218288135
Time Pressure	-0.062020841445155905
Deal With Physically Aggressive People	-0.07758441252154584
Far Vision	-0.07889440582079868
Perceptual Speed	-0.09673601723733287
Food Production	-0.10884624027222321
Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	-0.11590230417511038
Degree of Automation	-0.1407846212484644
Consequence of Error	-0.15654560337054294
Building and Construction	-0.1639067434701768
Deal With Unpleasant or Angry People	-0.17330919564045924
In an Enclosed Vehicle or Equipment	-0.17902024103824238
Public Safety and Security	-0.20691850214813778
Physical Proximity	-0.21802326105397796
Outdoors, Under Cover	-0.22254628286559577
Visual Color Discrimination	-0.2475283152069506
Transportation	-0.26109240789548205
Installation	-0.26539386127932657
Production and Processing	-0.29679084862689586
Quality Control Analysis	-0.3019098840716022
Importance of Repeating Same Tasks	-0.30203127285363796
Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection	-0.3061194008126475
Responsible for Others' Health and Safety	-0.31808354251531634
Outdoors, Exposed to Weather	-0.32413203595185025
Hearing Sensitivity	-0.33923987388091337
Repairing and Maintaining Electronic Equipment	-0.34343968158857124
Indoors, Not Environmentally Controlled	-0.3722823005944647
Exposed to Whole Body Vibration	-0.37503114066158766
Exposed to High Places	-0.38039209900702065
Exposed to Hazardous Conditions	-0.38057146742494824
Dynamic Flexibility	-0.38101403005420814
Spend Time Climbing Ladders, Scaffolds, or Poles	-0.38143885391686627
Mechanical	-0.38441821645198754
In an Open Vehicle or Equipment	-0.3964799999445853
Explosive Strength	-0.40198052520641736
Equipment Selection	-0.4098919919477065
Auditory Attention	-0.41441906652326876
Operation Monitoring	-0.4180965362936121
Troubleshooting	-0.4480451678733853
Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets	-0.45421234174309305
Depth Perception	-0.45510655585232157
Spatial Orientation	-0.4673736557608347
Night Vision	-0.47580945938753
Repairing	-0.4806415838711253
Sound Localization	-0.48932340026094806
Extremely Bright or Inadequate Lighting	-0.49286387005948823
Peripheral Vision	-0.4973111890886691
Cramped Work Space, Awkward Positions	-0.49732681689296604
Equipment Maintenance	-0.49931555638916714
Inspecting Equipment, Structures, or Material	-0.5001935699296784
Exposed to Hazardous Equipment	-0.502000597290563
Glare Sensitivity	-0.5037407974205103
Wrist-Finger Speed	-0.5132835654249341
Very Hot or Cold Temperatures	-0.5185913355770185
Finger Dexterity	-0.5229530131836487
Spend Time Keeping or Regaining Balance	-0.5231333740413416
Operating Vehicles, Mechanized Devices, or Equipment	-0.5237068788094951
Spend Time Kneeling, Crouching, Stooping, or Crawling	-0.5314419638420623
Operation and Control	-0.5378552960877696
Sounds, Noise Levels Are Distracting or Uncomfortable	-0.5390265522054721
Response Orientation	-0.559018556417361
Repairing and Maintaining Mechanical Equipment	-0.5591970121634005
Pace Determined by Speed of Equipment	-0.5608266987110168
Controlling Machines and Processes	-0.5664052717918424
Spend Time Standing	-0.5692925615346042
Exposed to Minor Burns, Cuts, Bites, or Stings	-0.5735084060960306
Gross Body Equilibrium	-0.5762785666330875
Exposed to Contaminants	-0.5852546805974587
Spend Time Walking and Running	-0.5880760334342686
Rate Control	-0.5936260821876236
Reaction Time	-0.5957115007934592
Gross Body Coordination	-0.6007998078239846
Spend Time Making Repetitive Motions	-0.6041373184713661
Speed of Limb Movement	-0.6046220374743665
Control Precision	-0.610841845062258
Stamina	-0.6128153520947888
Trunk Strength	-0.6185568118203234
Arm-Hand Steadiness	-0.625985520768907
Dynamic Strength	-0.6285499112114462
Performing General Physical Activities	-0.6287013361153885
Multilimb Coordination	-0.6304310310733781
Static Strength	-0.642379764004289
Extent Flexibility	-0.656184217284045
Spend Time Bending or Twisting the Body	-0.6703963254013329
Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls	-0.671094031912583
Handling and Moving Objects	-0.6713045865975337
Manual Dexterity	-0.6780149531477573
